Super lemma,PoS,Count,Percent,Lemma(ta),Word form(s),Dubium,Disambiguation status
noster,Pronoun,8,1.79,noster(8),nostra(3) nostrae(1) nostri(3) nostro(1),,green
omnis,Adjective,8,1.79,omnis(8),omnes(1) omni(3) omnia(1) omnibus(3),,green
universus,Adjective,7,1.566,universus(7),universa(3) universae(1) universam(1) universi(1) universis(1),,green
populus,Noun,6,1.342,populus(6),populi(2) populo(2) populorum(1) populum(1),,green
iudex,Noun,5,1.119,iudex(5),iudices(3) iudicibus(1) iudicum(1),,green
cunctus,Adjective,5,1.119,cunctus(5),cuncta(2) cuncti(1) cunctis(1) cunctorum(1),,green
suus,Pronoun,5,1.119,suus(5),suo(2) suorum(2) suos(1),,green
corrigo,Verb,5,1.119,corrigo(5),corrigat(1) corrigere(1) corrigit(1) corrigite(1) corrigitis(1),,green
studeo,Verb,5,1.119,studeo(5),studeant(2) studeatis(1) studuerint(1) studuimus(1),,green
iustitia,Noun,4,0.895,iustitia(4),iustitiae(2) iustitiam(2),,green
regio,Noun,4,0.895,regio(4),regione(2) regionem(1) regionis(1),,green
rex,Noun,4,0.895,rex(4),regis(3) rex(1),,green
ita,Adverb,4,0.895,ita(4),ita(4),,green
sanctus,Adjective,4,0.895,sanctus(4),sancta(2) sanctae(1) sancti(1),,green
iudicium,Noun,3,0.671,iudicium(3),iudicia(2) iudicii(1),,green
opus,Noun,3,0.671,opus(3),opere(1) operibus(1) operis(1),,green
pontifex,Noun,3,0.671,pontifex(3),pontifices(2) pontificibus(1),,green
praedicatio,Noun,3,0.671,praedicatio(3),praedicatio(1) praedicatione(2),,green
bene,Adverb,3,0.671,bene(3),bene(1) melius(2),,green
regnum,Noun,3,0.671,regnum(3),regni(3),,green
sacerdos,Noun,3,0.671,sacerdos(3),sacerdotibus(1) sacerdotum(2),,green
scelus,Noun,3,0.671,scelus(3),scelera(3),,green
divinus,Adjective,3,0.671,divinus(3),divina(3),,green
concedo,Verb,3,0.671,concedo(3),concedatur(1) concedere(1) concessit(1),,green
convenio,Verb,3,0.671,convenio(3),convenit(3),,green
reseco,Verb,3,0.671,reseco(3),resecantur(1) resecare(1) resecentur(1),,green
aequitas,Noun,3,0.671,aequitas(3),aequitas(1) aequitatem(1) aequitatis(1),,green
servo,Verb,3,0.671,servo(3),servamus(1) servando(1) servato(1),,green
vivo,Verb,3,0.671,vivo(3),viventes(1) vivere(2),,green
filius,Noun,2,0.447,filius(2),filiorum(1) filios(1),,green
ius,Noun,2,0.447,ius(2),iura(2),,green
acriter,Adverb,2,0.447,acriter(2),acrius(2),,green
salvatio,Noun,2,0.447,salvatio(2),salvatio(1) salvatione(1),,green
sermo,Noun,2,0.447,sermo(2),sermo(2),,green
sollicitudo,Noun,2,0.447,sollicitudo(2),sollicitudine(1) sollicitudinem(1),,green
studium,Noun,2,0.447,studium(2),studio(2),,green
tenor,Noun,2,0.447,tenor(2),tenore(2),,green
vigor,Noun,2,0.447,vigor(2),vigore(2),,green
vita,Noun,2,0.447,vita(2),vitae(1) vitam(1),,green
caelestis,Adjective,2,0.447,coelestis(2),coelesti(2),,green
canonicus,Adjective,2,0.447,canonicus(2),canonica(2),,green
alius,Pronoun,2,0.447,alius(2),alios(2),,green
quicumque,Pronoun,2,0.447,quicunque(2),quibuscunque(1) quicunque(1),,green
vester,Pronoun,2,0.447,vester(2),vestrorum(1) vestros(1),,green
legalis,Adjective,2,0.447,legalis(2),legalis(2),,green
liber,Adjective,2,0.447,liber(2),liberos(2),,green
pastoralis,Adjective,2,0.447,pastoralis(2),pastorali(1) pastoralis(1),,green
praecipuus,Adjective,2,0.447,praecipuus(2),praecipua(1) praecipue(1),,green
praesens,Adjective,2,0.447,praesens(2),praesentem(1) praesenti(1),,green
reliquus,Adjective,2,0.447,reliquus(2),reliquis(1) reliquorum(1),,green
subiectus,Adjective,2,0.447,subiectus(2),subiecto(1) subiectorum(1),,green
supernus,Adjective,2,0.447,supernus(2),supernae(1) superni(1),,green
cognosco,Verb,2,0.447,cognosco(2),cognoscit(1) cognovimus(1),,green
committo,Verb,2,0.447,comitto(1) committo(1),comissum(1) commisit(1),,green
Gunthramnus,Personal Name,2,0.447,Gunthramnus(2),gunthramni(1) gunthramnus(1),,green
credo,Verb,2,0.447,credo(2),credimus(2),,green
custodio,Verb,2,0.447,custodio(2),custodire(1) custodiri(1),,green
decerno,Verb,2,0.447,decerno(2),decernimus(1) decrevimus(1),,green
do,Verb,2,0.447,do(2),dare(1) data(1),,green
excedo,Verb,2,0.447,excedo(2),excedentes(2),,green
